AsOf,TradeId,Desk,Notional
2023-11-07,0,Desk_0,345.27
2023-11-07,1,Desk_1,572.91
2023-11-07,2,Desk_0,448.89
2023-11-07,3,Desk_1,475.5
2023-11-07,4,Desk_0,198.96
2023-11-07,5,Desk_1,246.97
2023-11-07,6,Desk_0,743.61
2023-11-07,7,Desk_1,246.22
2023-11-07,8,Desk_0,328.18
2023-11-07,9,Desk_1,954.94
2023-11-07,10,Desk_0,563.98
2023-11-07,11,Desk_1,479.39
2023-11-07,12,Desk_0,707.49
2023-11-07,13,Desk_1,853.4
2023-11-07,14,Desk_0,138.87
2023-11-07,15,Desk_1,347.91
2023-11-07,16,Desk_0,720.12
2023-11-07,17,Desk_1,990.2
2023-11-07,18,Desk_0,860.53
2023-11-07,19,Desk_1,310.84
2023-11-07,20,Desk_0,197.58
2023-11-07,21,Desk_1,689.69
2023-11-07,22,Desk_0,296.38
2023-11-07,23,Desk_1,617.21
2023-11-07,24,Desk_0,615.83
2023-11-07,25,Desk_1,353.13
2023-11-07,26,Desk_0,821.33
2023-11-07,27,Desk_1,309.21
2023-11-07,28,Desk_0,933.61
2023-11-07,29,Desk_1,542.99
2023-11-07,30,Desk_0,585.05
2023-11-07,31,Desk_1,888.59
2023-11-07,32,Desk_0,55.46
2023-11-07,33,Desk_1,911.9
2023-11-07,34,Desk_0,728.87
2023-11-07,35,Desk_1,330.87
2023-11-07,36,Desk_0,55.42
2023-11-07,37,Desk_1,136.03
2023-11-07,38,Desk_0,123.49
2023-11-07,39,Desk_1,58.47
2023-11-07,40,Desk_0,106.66
2023-11-07,41,Desk_1,517.1
2023-11-07,42,Desk_0,411.38
2023-11-07,43,Desk_1,817.15
2023-11-07,44,Desk_0,528.57
2023-11-07,45,Desk_1,328.98
2023-11-07,46,Desk_0,806.6
2023-11-07,47,Desk_1,139.1
2023-11-07,48,Desk_0,484.55
2023-11-07,49,Desk_1,301.39
2023-11-07,50,Desk_0,930.03
2023-11-07,51,Desk_1,221.87
2023-11-07,52,Desk_0,642.1
2023-11-07,53,Desk_1,857.79
2023-11-07,54,Desk_0,939.52
2023-11-07,55,Desk_1,603.75
2023-11-07,56,Desk_0,541.68
2023-11-07,57,Desk_1,853.54
2023-11-07,58,Desk_0,351.92
2023-11-07,59,Desk_1,974.44
2023-11-07,60,Desk_0,511.11
2023-11-07,61,Desk_1,597.24
2023-11-07,62,Desk_0,248.27
2023-11-07,63,Desk_1,824.08
2023-11-07,64,Desk_0,709.94
2023-11-07,65,Desk_1,880.08
2023-11-07,66,Desk_0,3.28
2023-11-07,67,Desk_1,404.09
2023-11-07,68,Desk_0,291.01
2023-11-07,69,Desk_1,586.96
2023-11-07,70,Desk_0,286.76
2023-11-07,71,Desk_1,650.25
2023-11-07,72,Desk_0,726.42
2023-11-07,73,Desk_1,217.8
2023-11-07,74,Desk_0,847.61
2023-11-07,75,Desk_1,301.19
2023-11-07,76,Desk_0,60.57
2023-11-07,77,Desk_1,308.76
2023-11-07,78,Desk_0,509.53
2023-11-07,79,Desk_1,434.89
2023-11-07,80,Desk_0,225.37
2023-11-07,81,Desk_1,310.44
2023-11-07,82,Desk_0,883.07
2023-11-07,83,Desk_1,41.37
2023-11-07,84,Desk_0,580.72
2023-11-07,85,Desk_1,953.56
2023-11-07,86,Desk_0,530.0
2023-11-07,87,Desk_1,51.29
2023-11-07,88,Desk_0,528.15
2023-11-07,89,Desk_1,512.89
2023-11-07,90,Desk_0,703.76
2023-11-07,91,Desk_1,448.24
2023-11-07,92,Desk_0,386.21
2023-11-07,93,Desk_1,666.04
2023-11-07,94,Desk_0,333.46
2023-11-07,95,Desk_1,707.04
2023-11-07,96,Desk_0,713.34
2023-11-07,97,Desk_1,836.03
2023-11-07,98,Desk_0,619.46
2023-11-07,99,Desk_1,820.41
