AsOf,TradeId,Desk,Notional
2023-11-05,0,Desk_0,372.02
2023-11-05,1,Desk_1,561.23
2023-11-05,2,Desk_0,875.72
2023-11-05,3,Desk_1,485.96
2023-11-05,4,Desk_0,796.69
2023-11-05,5,Desk_1,655.78
2023-11-05,6,Desk_0,987.94
2023-11-05,7,Desk_1,314.77
2023-11-05,8,Desk_0,452.34
2023-11-05,9,Desk_1,667.96
2023-11-05,10,Desk_0,216.48
2023-11-05,11,Desk_1,756.66
2023-11-05,12,Desk_0,315.24
2023-11-05,13,Desk_1,375.85
2023-11-05,14,Desk_0,188.87
2023-11-05,15,Desk_1,360.4
2023-11-05,16,Desk_0,43.09
2023-11-05,17,Desk_1,183.99
2023-11-05,18,Desk_0,927.85
2023-11-05,19,Desk_1,829.17
2023-11-05,20,Desk_0,541.72
2023-11-05,21,Desk_1,335.85
2023-11-05,22,Desk_0,361.29
2023-11-05,23,Desk_1,682.08
2023-11-05,24,Desk_0,374.8
2023-11-05,25,Desk_1,638.44
2023-11-05,26,Desk_0,917.07
2023-11-05,27,Desk_1,735.64
2023-11-05,28,Desk_0,261.72
2023-11-05,29,Desk_1,343.11
2023-11-05,30,Desk_0,333.68
2023-11-05,31,Desk_1,250.69
2023-11-05,32,Desk_0,218.58
2023-11-05,33,Desk_1,831.43
2023-11-05,34,Desk_0,829.71
2023-11-05,35,Desk_1,423.63
2023-11-05,36,Desk_0,862.96
2023-11-05,37,Desk_1,665.94
2023-11-05,38,Desk_0,944.22
2023-11-05,39,Desk_1,139.45
2023-11-05,40,Desk_0,25.09
2023-11-05,41,Desk_1,383.32
2023-11-05,42,Desk_0,685.66
2023-11-05,43,Desk_1,550.43
2023-11-05,44,Desk_0,86.59
2023-11-05,45,Desk_1,130.85
2023-11-05,46,Desk_0,107.81
2023-11-05,47,Desk_1,95.19
2023-11-05,48,Desk_0,402.33
2023-11-05,49,Desk_1,877.0
2023-11-05,50,Desk_0,69.54
2023-11-05,51,Desk_1,31.55
2023-11-05,52,Desk_0,751.89
2023-11-05,53,Desk_1,463.25
2023-11-05,54,Desk_0,728.59
2023-11-05,55,Desk_1,420.49
2023-11-05,56,Desk_0,14.06
2023-11-05,57,Desk_1,206.48
2023-11-05,58,Desk_0,270.2
2023-11-05,59,Desk_1,769.15
2023-11-05,60,Desk_0,161.4
2023-11-05,61,Desk_1,109.86
2023-11-05,62,Desk_0,477.53
2023-11-05,63,Desk_1,217.48
2023-11-05,64,Desk_0,230.97
2023-11-05,65,Desk_1,995.25
2023-11-05,66,Desk_0,13.77
2023-11-05,67,Desk_1,236.35
2023-11-05,68,Desk_0,143.71
2023-11-05,69,Desk_1,31.14
2023-11-05,70,Desk_0,704.57
2023-11-05,71,Desk_1,293.97
2023-11-05,72,Desk_0,116.66
2023-11-05,73,Desk_1,197.42
2023-11-05,74,Desk_0,684.81
2023-11-05,75,Desk_1,843.02
2023-11-05,76,Desk_0,940.62
2023-11-05,77,Desk_1,202.15
2023-11-05,78,Desk_0,4.93
2023-11-05,79,Desk_1,282.88
2023-11-05,80,Desk_0,580.44
2023-11-05,81,Desk_1,245.2
2023-11-05,82,Desk_0,180.1
2023-11-05,83,Desk_1,258.93
2023-11-05,84,Desk_0,396.0
2023-11-05,85,Desk_1,809.84
2023-11-05,86,Desk_0,208.98
2023-11-05,87,Desk_1,775.6
2023-11-05,88,Desk_0,778.9
2023-11-05,89,Desk_1,355.73
2023-11-05,90,Desk_0,789.55
2023-11-05,91,Desk_1,120.02
2023-11-05,92,Desk_0,153.22
2023-11-05,93,Desk_1,385.34
2023-11-05,94,Desk_0,815.37
2023-11-05,95,Desk_1,520.06
2023-11-05,96,Desk_0,98.44
2023-11-05,97,Desk_1,860.8
2023-11-05,98,Desk_0,748.87
2023-11-05,99,Desk_1,793.54
