AsOf,TradeId,Desk,Notional
2023-11-04,0,Desk_0,818.17
2023-11-04,1,Desk_1,359.33
2023-11-04,2,Desk_0,136.82
2023-11-04,3,Desk_1,984.45
2023-11-04,4,Desk_0,300.64
2023-11-04,5,Desk_1,672.52
2023-11-04,6,Desk_0,358.42
2023-11-04,7,Desk_1,127.93
2023-11-04,8,Desk_0,295.03
2023-11-04,9,Desk_1,778.9
2023-11-04,10,Desk_0,678.15
2023-11-04,11,Desk_1,837.12
2023-11-04,12,Desk_0,662.57
2023-11-04,13,Desk_1,248.39
2023-11-04,14,Desk_0,812.77
2023-11-04,15,Desk_1,363.13
2023-11-04,16,Desk_0,751.68
2023-11-04,17,Desk_1,174.12
2023-11-04,18,Desk_0,516.14
2023-11-04,19,Desk_1,143.76
2023-11-04,20,Desk_0,194.12
2023-11-04,21,Desk_1,668.91
2023-11-04,22,Desk_0,135.67
2023-11-04,23,Desk_1,627.06
2023-11-04,24,Desk_0,921.85
2023-11-04,25,Desk_1,812.58
2023-11-04,26,Desk_0,700.57
2023-11-04,27,Desk_1,332.27
2023-11-04,28,Desk_0,264.26
2023-11-04,29,Desk_1,691.17
2023-11-04,30,Desk_0,864.72
2023-11-04,31,Desk_1,694.28
2023-11-04,32,Desk_0,701.06
2023-11-04,33,Desk_1,830.22
2023-11-04,34,Desk_0,946.22
2023-11-04,35,Desk_1,226.44
2023-11-04,36,Desk_0,218.34
2023-11-04,37,Desk_1,891.53
2023-11-04,38,Desk_0,380.42
2023-11-04,39,Desk_1,932.33
2023-11-04,40,Desk_0,243.33
2023-11-04,41,Desk_1,976.77
2023-11-04,42,Desk_0,135.15
2023-11-04,43,Desk_1,698.99
2023-11-04,44,Desk_0,818.49
2023-11-04,45,Desk_1,260.79
2023-11-04,46,Desk_0,24.15
2023-11-04,47,Desk_1,611.67
2023-11-04,48,Desk_0,15.71
2023-11-04,49,Desk_1,963.97
2023-11-04,50,Desk_0,398.94
2023-11-04,51,Desk_1,744.92
2023-11-04,52,Desk_0,589.1
2023-11-04,53,Desk_1,865.1
2023-11-04,54,Desk_0,399.47
2023-11-04,55,Desk_1,5.04
2023-11-04,56,Desk_0,517.69
2023-11-04,57,Desk_1,654.96
2023-11-04,58,Desk_0,800.26
2023-11-04,59,Desk_1,25.76
2023-11-04,60,Desk_0,399.33
2023-11-04,61,Desk_1,435.85
2023-11-04,62,Desk_0,501.48
2023-11-04,63,Desk_1,951.96
2023-11-04,64,Desk_0,622.47
2023-11-04,65,Desk_1,583.05
2023-11-04,66,Desk_0,883.51
2023-11-04,67,Desk_1,185.71
2023-11-04,68,Desk_0,864.95
2023-11-04,69,Desk_1,1.95
2023-11-04,70,Desk_0,568.5
2023-11-04,71,Desk_1,814.08
2023-11-04,72,Desk_0,747.16
2023-11-04,73,Desk_1,538.17
2023-11-04,74,Desk_0,613.89
2023-11-04,75,Desk_1,490.29
2023-11-04,76,Desk_0,401.18
2023-11-04,77,Desk_1,927.54
2023-11-04,78,Desk_0,800.92
2023-11-04,79,Desk_1,997.38
2023-11-04,80,Desk_0,308.95
2023-11-04,81,Desk_1,209.38
2023-11-04,82,Desk_0,474.47
2023-11-04,83,Desk_1,588.37
2023-11-04,84,Desk_0,8.87
2023-11-04,85,Desk_1,968.7
2023-11-04,86,Desk_0,341.45
2023-11-04,87,Desk_1,466.72
2023-11-04,88,Desk_0,174.22
2023-11-04,89,Desk_1,121.47
2023-11-04,90,Desk_0,740.85
2023-11-04,91,Desk_1,448.32
2023-11-04,92,Desk_0,125.86
2023-11-04,93,Desk_1,212.22
2023-11-04,94,Desk_0,161.54
2023-11-04,95,Desk_1,928.75
2023-11-04,96,Desk_0,57.71
2023-11-04,97,Desk_1,354.22
2023-11-04,98,Desk_0,202.9
2023-11-04,99,Desk_1,769.07
