AsOf,TradeId,Desk,Notional
2023-11-08,0,Desk_0,920.34
2023-11-08,1,Desk_1,998.56
2023-11-08,2,Desk_0,642.03
2023-11-08,3,Desk_1,544.25
2023-11-08,4,Desk_0,849.42
2023-11-08,5,Desk_1,253.64
2023-11-08,6,Desk_0,160.91
2023-11-08,7,Desk_1,472.13
2023-11-08,8,Desk_0,35.55
2023-11-08,9,Desk_1,973.97
2023-11-08,10,Desk_0,115.0
2023-11-08,11,Desk_1,316.27
2023-11-08,12,Desk_0,913.11
2023-11-08,13,Desk_1,97.78
2023-11-08,14,Desk_0,384.45
2023-11-08,15,Desk_1,879.77
2023-11-08,16,Desk_0,686.52
2023-11-08,17,Desk_1,57.14
2023-11-08,18,Desk_0,957.16
2023-11-08,19,Desk_1,492.76
2023-11-08,20,Desk_0,31.05
2023-11-08,21,Desk_1,313.43
2023-11-08,22,Desk_0,291.87
2023-11-08,23,Desk_1,807.62
2023-11-08,24,Desk_0,829.22
2023-11-08,25,Desk_1,837.12
2023-11-08,26,Desk_0,471.35
2023-11-08,27,Desk_1,878.05
2023-11-08,28,Desk_0,282.86
2023-11-08,29,Desk_1,622.25
2023-11-08,30,Desk_0,636.38
2023-11-08,31,Desk_1,704.48
2023-11-08,32,Desk_0,831.54
2023-11-08,33,Desk_1,361.87
2023-11-08,34,Desk_0,485.45
2023-11-08,35,Desk_1,792.55
2023-11-08,36,Desk_0,55.43
2023-11-08,37,Desk_1,353.23
2023-11-08,38,Desk_0,75.06
2023-11-08,39,Desk_1,42.09
2023-11-08,40,Desk_0,143.59
2023-11-08,41,Desk_1,550.11
2023-11-08,42,Desk_0,762.29
2023-11-08,43,Desk_1,460.53
2023-11-08,44,Desk_0,568.64
2023-11-08,45,Desk_1,434.64
2023-11-08,46,Desk_0,893.59
2023-11-08,47,Desk_1,777.8
2023-11-08,48,Desk_0,324.3
2023-11-08,49,Desk_1,41.81
2023-11-08,50,Desk_0,762.95
2023-11-08,51,Desk_1,29.15
2023-11-08,52,Desk_0,454.56
2023-11-08,53,Desk_1,37.75
2023-11-08,54,Desk_0,437.89
2023-11-08,55,Desk_1,567.55
2023-11-08,56,Desk_0,631.32
2023-11-08,57,Desk_1,225.88
2023-11-08,58,Desk_0,282.76
2023-11-08,59,Desk_1,769.38
2023-11-08,60,Desk_0,222.26
2023-11-08,61,Desk_1,235.5
2023-11-08,62,Desk_0,397.06
2023-11-08,63,Desk_1,904.93
2023-11-08,64,Desk_0,631.17
2023-11-08,65,Desk_1,433.11
2023-11-08,66,Desk_0,729.87
2023-11-08,67,Desk_1,259.6
2023-11-08,68,Desk_0,690.19
2023-11-08,69,Desk_1,289.32
2023-11-08,70,Desk_0,332.3
2023-11-08,71,Desk_1,612.1
2023-11-08,72,Desk_0,536.85
2023-11-08,73,Desk_1,532.79
2023-11-08,74,Desk_0,65.64
2023-11-08,75,Desk_1,602.81
2023-11-08,76,Desk_0,718.14
2023-11-08,77,Desk_1,427.57
2023-11-08,78,Desk_0,96.22
2023-11-08,79,Desk_1,358.4
2023-11-08,80,Desk_0,229.77
2023-11-08,81,Desk_1,421.21
2023-11-08,82,Desk_0,676.49
2023-11-08,83,Desk_1,978.07
2023-11-08,84,Desk_0,820.94
2023-11-08,85,Desk_1,228.69
2023-11-08,86,Desk_0,37.15
2023-11-08,87,Desk_1,132.35
2023-11-08,88,Desk_0,173.1
2023-11-08,89,Desk_1,140.36
2023-11-08,90,Desk_0,696.82
2023-11-08,91,Desk_1,77.02
2023-11-08,92,Desk_0,495.79
2023-11-08,93,Desk_1,972.53
2023-11-08,94,Desk_0,132.96
2023-11-08,95,Desk_1,842.87
2023-11-08,96,Desk_0,673.61
2023-11-08,97,Desk_1,615.07
2023-11-08,98,Desk_0,552.35
2023-11-08,99,Desk_1,226.22
